CUOC,Descripcion_CUOC
01100,"Planean, organizan, comandan y ejecutan la implementación de procedimientos y políticas militares en todos los niveles jerárquicos; adiestran y comandan al personal de las fuerzas militares para garantizar la soberanía del territorio nacional y la defensa y promoción de los derechos humanos; dan instrucción del uso de armas y demás equipo militar; pasan revista a los destacamentos; asumen la responsabilidad por el bienestar de los subalternos; tienen las destrezas, habilidades y competencias requeridas para adelantar operaciones marítimas, fluviales, aéreas y terrestres, en función del desarrollo y la seguridad nacional, y llevan a cabo funciones similares a las realizadas en una variedad de ocupaciones civiles ajenas a las Fuerzas Militares. Se pueden desempeñar en ocupaciones exclusivas de las mismas Fuerzas, entre otros."
02100,"Supervisan y comandan las operaciones de las Fuerzas Militares a su cargo, como parte de medidas colectivas de defensa de la soberanía, la independencia, el orden constitucional, la protección de los derechos y la integridad del territorio nacional; realizan ejercicios de preparación y adiestramiento, y ejecutan funciones similares a las que se llevan a cabo en diversas ocupaciones civiles, ajenas a las Fuerzas Armadas. Se pueden desempeñar en ocupaciones exclusivas de las mismas fuerzas, entre otros."
03100,"Actúan y apoyan unidades de combate en operaciones de las Fuerzas Militares para la conservación, restablecimiento del orden público; realizan acciones de defensa para proteger el territorio, las aguas, el espacio aéreo nacional; defienden la soberanía, la independencia, la integridad del territorio nacional y el orden constitucional, y ejecutan funciones similares a las que se llevan a cabo en diversas ocupaciones civiles, ajenas a las Fuerzas Armadas. Se pueden desempeñar en ocupaciones exclusivas de las mismas fuerzas, entre otros."
11110,"Definen, formulan y orientan la política del poder público en todos sus niveles; elaboran, promulgan, modifican o derogan leyes y decretos de los gobiernos, dentro del marco de la constitución que determina sus poderes y el ámbito de su jurisdicción; designan o nombran a los jefes de los gabinetes ministeriales, de departamentos administrativos, agentes diplomáticos consulares, presidentes, directores o gerentes de los establecimientos públicos nacionales cuya provisión no corresponda a otros funcionarios o corporaciones. En esta ocupación por lo general son elegidos por voto popular. Se pueden desempeñar en el sector público, gobierno, entre otros."
11120,"Asesoran al gobierno sobre cuestiones normativas; supervisan la interpretación y aplicación de las políticas gubernamentales y la legislación por departamentos y organismos gubernamentales; representan al país en el extranjero y actúan en su nombre, o llevan a cabo tareas similares en organizaciones intergubernamentales. Además, planean, organizan, dirigen, controlan y evalúan las actividades generales de los departamentos del gobierno municipal o local, regional y nacional, juntas, organismos o comisiones de acuerdo con la legislación y las políticas establecidas por el gobierno y los órganos legislativos. Se pueden desempeñar en el sector público, gobierno, entre otros."
11130,"Planean, organizan, dirigen y controlan funciones legislativas, administrativas y ceremoniales basadas tanto en la tradición de su comunidad como en la repartición de los poderes y responsabilidades entre los dirigentes o jefes de sus colectividades y las autoridades locales, regionales y nacionales. Se pueden desempeñar en cargos del gobierno, sector público, entre otros."
11140,"Planean, formulan, definen e implementan las políticas, estatutos y reglamentos de la organización de membresía como partidos políticos, organizaciones sindicales, asociaciones de profesionales, comerciales y gremiales, asociaciones deportivas o de fines particulares; velan por su cumplimiento y actúan en su nombre y representación. Se pueden desempeñar en organizaciones deportivas, asociaciones de profesionales, sindicatos estatales, gremios, entre otros."
11200,"Planean, organizan, dirigen y controlan las actividades generales de las empresas u organizaciones con la asistencia de otros directores y gerentes; dentro de las pautas establecidas, formulan políticas que determinan la dirección a tomar por las empresas; generalmente siguen orientaciones de un órgano directivo o una junta directiva (con excepción de los departamentos ministeriales y las organizaciones que representan un interés especial). Se pueden desempeñar en empresas, compañías, sector privado, entre otros."
12111,"Planean, coordinan, controlan operaciones financieras y contables; proponen, estudian y calculan nuevos proyectos y retornos de la inversión, desarrollan e implementan políticas y sistemas financieros, supervisan y realizan seguimiento a los informes de auditoría, ya sea como director de un departamento de una gran empresa u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en compañías financieras, sector público, entre otros."
12112,"Planean, coordinan, controlan operaciones financieras que proveen servicios de seguros, bienes raíces y corretaje financiero; proponen, estudian y calculan nuevos proyectos y retornos de la inversión, desarrollan e implementan políticas y sistemas financieros, supervisan y realizan seguimiento a los informes, ya sea como director de un departamento de una gran empresa u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en compañías de servicios financieros, aseguradoras, sector público, entre otros."
12113,"Planean, coordinan, controlan operaciones financieras que proveen servicios de banca, crédito e inversiones; proponen, estudian y calculan nuevos proyectos y retornos de la inversión, desarrollan e implementan políticas financieras, supervisan y realizan seguimiento a los informes de la empresa u organización, ya sea como director de un departamento de una gran empresa u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en compañías financieras, cooperativas de crédito, entidades de inversión, agencias y sociedades de bolsa, sector público, entre otros."
12120,"Planean, diseñan, implementan y evalúan políticas, programas, proyectos y procedimientos de talento humano, contratos, salarios, beneficios laborales, capacitación y desarrollo de personal; consultan y asesoran a los directivos de otros departamentos y demás empleados sobre la interpretación de políticas de personal, materia de seguridad y salud ocupacional, acuerdos colectivos y análisis ocupacional, ya sea como director de un departamento de una gran empresa u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en sector público y privado, entre otros."
12130,"Planean, organizan, dirigen y coordinan las actividades de asesoramiento sobre políticas, programas y planeación estratégica; gestionan las actividades de empresas que prestan servicios de desarrollo de planeación estratégica, comercio internacional, transporte, agricultura, entre otros para promover el desarrollo de negocios comerciales e industriales en áreas rurales y urbanas, ya sea como director de un departamento de una gran empresa u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en el gobierno, sector público, entre otros."
12191,"Planean, organizan, dirigen y controlan las operaciones de limpieza y mantenimiento de instalaciones (infraestructura locativa), mantenimiento de equipos y herramientas, ya sea como director de un departamento de una gran empresa u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en constructoras, centros comerciales, aeropuertos, puertos, bodegas de almacenamiento, terminales de transporte, conjuntos residenciales, departamentos de mantenimiento en empresas manufactureras, entre otros."
12199,"Esta ocupación abarca a directores de administración y servicios del Grupo Primario 1219: Directores y gerentes de administración y servicios no clasificados en otras ocupaciones. Por ejemplo, incluye aquellos que planean, organizan, dirigen y controlan actividades de departamentos y de unidades administrativas y comerciales no clasificadas anteriormente, se incluyen ocupaciones como director de instalaciones, director de servicios de limpieza, director de servicios administrativos, entre otros, ya sea como director de un departamento de una gran empresa u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en firmas de consultoría administrativa, entre otros."
12211,"Planean, organizan, dirigen y controlan las actividades de ventas y mercadeo, ya sea como director de un departamento de una gran empresa u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en empresas de comercio, empresas de consultoría de mercadeo, entre otros."
12212,"Planean, organizan, dirigen y controlan actividades de comercio internacional, ya sea como director de un departamento u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en empresas de servicios de aduanas, sector público, entre otros."
12220,"Planean, organizan, dirigen y controlan las actividades y estrategias de publicidad, relaciones públicas e información; divulgan actividades, eventos y mantienen buenas relaciones con los medios, las agencias de comunicación, publicitaria y de diseño, ya sea como director de un departamento de una gran empresa u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en firmas de consultoría, corporaciones, asociaciones, gobierno, instituciones sociales, medios de comunicación, entre otros."
12230,"Planean, dirigen y coordinan las actividades de investigación y desarrollo científico de una empresa u organización que proporcionan servicios afines a otras empresas y organizaciones; preparan reportes, proveen consultoría y administran programas relacionados, ya sea como director de un departamento de una gran empresa u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en empresas de consultoría e investigación científica, bebidas y alimentos, laboratorios farmacéuticos, organizaciones reguladoras, entre otros."
13110,"Planean, organizan, dirigen y controlan las operaciones de producción de explotación a gran escala de agricultura, horticultura, silvicultura y ganadería teniendo en cuenta parámetros de calidad definidos, buscando la optimización de recursos, productividad del cultivo y mejora continua, mercadean productos de una finca. Se pueden desempeñar en fincas, grandes haciendas, granjas colectivas, cooperativas agrícolas, entre otros."
13120,"Planean, organizan, dirigen y controlan las actividades de producción a gran escala en explotaciones de piscicultura y operaciones de pesca, captura, cosecha y cría de peces y mariscos u otras formas de vida acuática destinados a la recuperación de la fauna o comercialización. Se pueden desempeñar en criaderos, grandes haciendas, granjas colectivas, cooperativas de producción acuícola, piscícola, pesca, entre otros"
13210,"Planean, coordinan y controlan las operaciones relacionadas con la producción de bienes y servicios y la distribución de servicios públicos, así como la recolección, el tratamiento, el aprovechamiento y la disposición final de residuos. Estableciendo los controles de inventarios y variables operacionales, indicadores de producción, centro de costos, dirección del grupo de trabajadores a su cargo en la utilización racional de los recursos necesarios para el desarrollo de sus actividades y el cumplimiento de normas de higiene y seguridad laboral, calidad del producto, innovación y sostenibilidad ambiental. Ya sea como director de un departamento o como el gerente general de una empresa u organización que no cuenta con una estructura jerarquizada de directivos. Se pueden desempeñar en empresas de manufactura, empresas de transformación de materias primas, entre otros."
13220,"Planean, dirigen y coordinan las actividades de minería y explotación de canteras, perforación, producción y mantenimiento de pozos de petróleo y gas. Ya sea como directores de un departamento o como el gerente general de una empresa u organización que no tiene una estructura jerarquizada de directivos. Se pueden desempeñar en empresa de compañías mineras, canteras, empresas exploradoras de hidrocarburos, entre otros."
13230,"Planean, organizan, dirigen y controlan empresas de construcción de edificios, viviendas y proyectos de ingeniería civil, administran proyectos de construcción y remodelación, conforme a programación, especificaciones y presupuestos, ya sea como director de un departamento o como el gerente general de una empresa u organización que no tiene una estructura jerarquizada de directivos. Se pueden desempeñar en empresas de construcción residencial, industrial y comercial y por departamentos de construcción en empresas de la construcción, entre otros."
13241,"Planean, organizan, dirigen y controlan las actividades de compras y adquisiciones de una empresa u organización; desarrollan e implementan políticas de compras. Ya sea como director de un departamento o como el gerente general de una empresa u organización que no cuenta con una estructura jerarquizada de directivos. Se pueden desempeñar en abastecimiento, distribución, entre otros."
13242,"Planean, organizan, dirigen y controlan las actividades en establecimientos que ofrecen servicios de correo, encomiendas y courier, ya sea como director de un departamento o como el gerente general de una empresa o una organización que no cuenta con una estructura  jerarquizada de directivos, Se pueden desempeñar en empresas de servicios de correo, mensajería, entre otros."
13243,"Administran, planean y controlan las operaciones que se llevan a cabo en el terminal multipropósito. Disponen y controlan el eficiente uso de los recursos, incluidos: equipos propios, rentados, aparejos equipos de amarre, patios, bodegas, muelles, sitios de inspección, vías de acceso y corredores de carga, zonas de parqueo de tractomulas y volquetas, enturnamiento de vehículos y otros espacios aledaños al terminal utilizados para soporte de la operación. Se pueden desempeñar en empresas públicas, terminales portuarios, navieras, empresas prestadoras de servicios portuarios y empresas de logística portuaria, entre otras."
13244,"Planean, organizan, dirigen y controlan las actividades relacionadas con los eslabones de la cadena de suministro y colaboran entre las empresas de los diferentes sectores productivos; ya sea como director de un departamento o como el gerente general de una empresa u organización que no cuenta con una estructura jerarquizada de directivos. Se pueden desempeñar en empresas de transporte, despacho y embarque de carga, departamentos de transporte de empresas manufactureras, comercio al por mayor y al por menor, entre otros."
13301,"Planean, dirigen y coordinan las políticas, planes, programas, mantenimiento y utilización de telecomunicaciones para cumplir objetivos y metas propuestas, ya sea como director de un departamento o como el gerente general de una empresa u organización que no tiene una estructura jerarquizada de directivos. Se pueden desempeñar en empresas prestadoras de servicios, operadoras o todas aquellas que requieran infraestructura de telecomunicaciones, entre otros."
13302,"Planean, dirigen y coordinan los recursos y actividades de sistemas de información; formulan y definen estrategias para cumplir objetivos y metas propuestas; ya sea como director de un departamento o como el gerente general de una empresa u organización que no tiene una estructura jerarquizada de directivos. Se pueden desempeñar en departamentos y empresas de procesamiento electrónico de datos, servicios de BPO, entre otros."
13303,"Planean, dirigen y coordinan actividades de edición de teatro, cine, producción de discos, videos, medios de comunicación y a fines; ya sea como director de un departamento o como el gerente general de una empresa u organización que no tiene una estructura jerarquizada de directivos. Se pueden desempeñar en empresas de radio y televisión, compañías de cine, teatro, grabación, entre otros."
13410,"Planean, dirigen, coordinan y evalúan la prestación de servicios de cuidados, protección y desarrollo integral de los niños en centros de atención integral y otros establecimientos que los acogen antes y después de la escuela, durante las vacaciones y durante el día. Se pueden desempeñar en centros de cuidado, protección y desarrollo integral infantiles, espacios habitacionales, jardines o guarderías, entre otros."
13420,"Planean, evalúan, dirigen y controlan integralmente las actividades y sistemas de prestación de servicios de salud dentro de una institución, una organización, un centro o un departamento. Se pueden desempeñar en hospitales, clínicas, centros médicos, EPS, IPS, organismos de salud pública, entre otros."
13430,"Planean, dirigen, coordinan y evalúan la prestación de servicios de atención a personas mayores y familias que requieren servicios relacionados con rutina y autocuidado de la salud física, apoyo emocional-espiritual, desarrollo de habilidades sociales y ocupacionales, así como necesidades de comunicación. Se pueden desempeñar en centros de atención domiciliaria para personas adultas mayores, centros residenciales para personas adultas mayores, geriátricos, centro de jubilados, entre otros."
13440,"Planean, organizan, dirigen y controlan el desarrollo y administración de políticas sociales, programas diseñados para proteger y promover el bienestar de individuos y comunidades; ya sea como director de un departamento o como el gerente general de una empresa u organización que no cuenta con una estructura jerarquizada de directivos. Se pueden desempeñar en instituciones de detención y correccionales, departamentos de consejería, organizaciones no gubernamentales, entre otros."
13451,"Planean, dirigen, coordinan, controlan y evalúan el desarrollo de políticas y programas de educación básica primaria, secundaria, media y formación para el trabajo y superior. Se pueden desempeñar en el gobierno, entidades públicas, centros de enseñanza primaria y secundaria, facultades, departamentos en universidades, entre otros."
13452,"Planean, dirigen, administran, gestionan, coordinan y evalúan las actividades curriculares, académicas, administrativas y de apoyo al proceso de educación; desarrollan los procesos y procedimientos relacionados con admisión, registro, profesores y otro personal. Se pueden desempeñar en instituciones de educación preescolar, básica primaria, secundaria, formación para el trabajo y la educación superior, públicos y privados, entre otros."
